"","Région","Total Spending","Regional Councils","Departmental Councils","Communes and EPCI","studnum","SpendingPerStudent"
"1","Auvergne-Rhône-Alpes",59.7,45.8,"2.4","11.5",218564,273.14653831372
"2","Bourgogne-Franche-Comté",7.1,2.1,"1.3","3.7",52327,135.685210312076
"3","Bretagne",19.2,15,"0.8","3.4",80261,239.219546230423
"4","Centre-Val de Loire",7.5,5.6,"1.0","1.0",39146,191.59045624074
"5","Corse",1.7,1.7,"-","-",3703,459.087226573049
"6","Grand Est",58.6,33.8,"3.1","21.7",136449,429.464488563493
"7","Hauts-de-France",71.6,31.8,"3.4","36.4",155233,461.242132793929
"8","Île-de-France",110.5,86.3,"1.8","22.3",458197,241.162644015565
"9","Normandie",24.4,21.1,"0.6","2.7",73829,330.493437538095
"10","Nouvelle-Aquitaine",26.4,15.4,"6.8","4.2",138477,190.645377932798
"11","Occitanie",59,49.3,"1.8","7.9",171371,344.282288135099
"12","Pays de la Loire",46.8,16.4,"10.4","20.0",82969,564.066096975979
"13","Provence-Alpes-Côte d'Azur",28.7,10.1,"8.6","10.1",103216,278.05766547822
